Year,Sex,Race,Means,All ages,5‐14 years,15‐24 years,25‐34 years,35‐44 years,45‐54 years,55‐64 years,65‐74 years,75‐84 years,85 years and over,Age adjusted rate
1900,Both,All,All,10.2,,6.8,11.2,15.8,19.9,23.5,26.1,29.2,,13.1
1901,Both,All,All,10.4,,6.8,11.4,15.4,20.5,25.6,25.6,29.2,,13.3
1902,Both,All,All,10.3,,7.4,10.3,16.1,20,24.3,25.5,30.3,,13.5
1903,Both,All,All,11.3,,6.6,13.3,18.9,22.9,23,27.9,24.4,,14.3
1904,Both,All,All,12.2,,8.5,14,17.2,25.3,27.9,27.7,32.2,,15.4
1905,Both,All,All,13.5,,9.4,14.9,19.6,26.5,30.3,33,37.9,57.1,17.5
1906,Both,All,All,12.8,,8,14.1,19.8,26.5,30.5,31.4,31,,16.4
1907,Both,All,All,14.5,,10.8,17,21.1,28.4,33.6,35.5,32.7,,18.2
1908,Both,All,All,16.8,,11.3,19.4,25.2,36,40.2,35.7,34.3,33.2,21.1
1909,Both,All,All,16,0.3,10.5,18.1,23.8,33.7,37.5,35.9,34,30.5,20
1910,Both,All,All,15.3,0.3,10.7,17.7,22.4,29.9,37,35.3,38.7,33.4,19.4
1911,Both,All,All,16,0.2,10.9,18.8,24.5,32.1,37.3,35.6,34.8,27.8,20
1912,Both,All,All,15.6,0.3,9.8,18.4,23.6,31.1,38.7,34.2,38.1,28.9,19.7
1913,Both,All,All,15.4,0.2,10.4,18.9,22.9,30.1,36.7,35.1,31.6,27.1,19.2
1914,Both,All,All,16.1,0.3,10.8,18.9,23.6,32.5,40,35.7,32.7,31.3,20.1
1915,Both,All,All,16.2,0.3,9.8,18.6,23.9,32.2,41.3,39.7,35.1,36.8,20.5
1916,Both,All,All,13.7,0.2,8.7,15.5,20.1,26.9,35.9,36.3,34.4,29.9,17.8
1917,Both,All,All,13,0.3,8.3,16.7,18.9,25,30.1,34.7,32.5,27,16.7
1918,Both,All,All,12.3,0.2,7.3,15.8,19.2,22,29,30,30.4,31.5,15.7
1919,Both,All,All,11.5,0.2,6.6,13.7,18.1,21.6,27.7,29.4,32.2,39.5,15.1
1920,Both,All,All,10.2,0.2,6.2,11.5,15.7,20.4,24.2,27.4,28.2,32.5,13.4
1921,Both,All,All,12.4,0.3,6.9,13.3,19,26.2,31.3,32.5,32.3,35,16.3
1922,Both,All,All,11.7,0.2,6.4,12.1,18,24.8,29.7,33.8,32.8,35.1,15.6
1923,Both,All,All,11.5,0.2,5.7,11.9,17.8,24,29.5,31.2,35,35.4,15.3
1924,Both,All,All,11.9,0.2,6.3,11.9,18.6,24.9,31.3,33.4,30.8,31,15.7
1925,Both,All,All,12,0.2,5.9,12.2,18,25.2,30.3,35.8,31.7,32.4,15.8
1926,Both,All,All,12.6,0.2,6.5,12.2,19.2,26.4,31.9,36.6,36.1,32.1,16.6
1927,Both,All,All,13.2,0.3,6.4,13.1,19.6,27.7,33.7,37.4,35.9,34,17.2
1928,Both,All,All,13.5,0.2,6.7,13.4,19.4,29,34.3,40.4,39.4,29.9,17.7
1929,Both,All,All,13.9,0.2,7.1,13.6,20.3,28.7,35,41,40.8,25.3,18
